#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
06D3el 999 0.519000 999 22.877364 999 0.769341 0.108674 -0.144104 0.027025 999 999 53894.381276 0.121228 999 999 999 999 999 999 999 1.276276e-05 2.893738e-07
SDSS18298 999 0.119820 999 20.538255 999 -2.735859 0.290481 0.254647 0.048061 999 999 54374.330955 0.212662 999 999 999 999 999 999 999 1.088223e-04 6.823728e-06
04D4bq 999 0.550000 999 23.340038 999 0.654083 0.260186 0.099765 0.038562 999 999 53193.687236 0.298458 999 999 999 999 999 999 999 8.294399e-06 2.512444e-07
SDSS19616 999 0.165490 999 20.241688 999 0.152332 0.190819 -0.023216 0.026688 999 999 54403.533042 0.138564 999 999 999 999 999 999 999 1.438755e-04 4.382265e-06
SDSS1032 999 0.129760 999 20.334785 999 -2.528311 0.200196 0.050791 0.036785 999 999 53626.522662 0.199069 999 999 999 999 999 999 999 1.319828e-04 5.006693e-06
sn2002ha 999 0.014046 999 14.668706 999 -1.295503 0.070605 -0.092335 0.022760 999 999 52581.355453 0.105638 999 999 999 999 999 999 999 2.424940e-02 5.531219e-04
05D2ah 999 0.184000 999 20.757927 999 -0.074987 0.047597 0.001006 0.024148 999 999 53382.699870 0.063333 999 999 999 999 999 999 999 8.983223e-05 2.323022e-06
sn2001cn 999 0.015500 999 15.268404 999 -0.548700 0.040026 0.129479 0.024042 999 999 52072.931990 0.152248 999 999 999 999 999 999 999 1.393457e-02 3.615205e-04
04D2ja 999 0.740000 999 24.079597 999 0.351222 0.402007 -0.201007 0.071049 999 999 53123.198896 0.483231 999 999 999 999 999 999 999 4.188602e-06 1.988669e-07
SDSS19282 999 0.177000 999 20.290756 999 1.224193 0.237173 -0.038604 0.024891 999 999 54397.433839 0.162813 999 999 999 999 999 999 999 1.374291e-04 4.036354e-06
05D3lr 999 0.600000 999 23.846701 999 0.181287 0.344966 0.103433 0.039442 999 999 53541.024924 0.313099 999 999 999 999 999 999 999 5.211017e-06 1.825598e-07
SDSS17875 999 0.212000 999 21.021139 999 1.121202 0.320371 -0.030635 0.038444 999 999 54362.456800 0.402192 999 999 999 999 999 999 999 7.017194e-05 2.652136e-06
sn1994s 999 0.015177 999 14.763005 999 0.222791 0.189142 -0.064676 0.031399 999 999 49518.395323 0.244382 999 999 999 999 999 999 999 2.226794e-02 7.092311e-04
sn2004eo 999 0.015701 999 15.047773 999 -1.166674 0.033501 0.041673 0.023270 999 999 53278.520543 0.031951 999 999 999 999 999 999 999 1.709220e-02 4.165698e-04
sn1993h 999 0.024207 999 16.677566 999 -2.156422 0.067386 0.111572 0.029179 999 999 49067.459363 0.259397 999 999 999 999 999 999 999 3.802134e-03 1.215172e-04
sn2005bo 999 0.013900 999 15.621457 999 -1.162169 0.108142 0.205426 0.019985 999 999 53478.746011 0.140042 999 999 999 999 999 999 999 1.005942e-02 1.826751e-04
04D2gc 999 0.521000 999 23.332177 999 1.140118 0.202310 0.018300 0.035614 999 999 53118.116357 0.255402 999 999 999 999 999 999 999 8.403783e-06 2.077958e-07
04D4ih 999 0.934000 999 24.354139 999 0.321944 0.344172 -0.216492 0.052188 999 999 53269.567565 0.426736 999 999 999 999 999 999 999 3.185483e-06 1.671736e-07
