#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
04D4ic 999 0.687000 999 24.111027 999 -1.001286 0.503829 -0.021503 0.072695 999 999 53256.439118 0.782462 999 999 999 999 999 999 999 4.065971e-06 2.159574e-07
SDSS11300 999 0.146800 999 20.280965 999 -1.607030 0.680120 0.075083 0.033728 999 999 53699.544621 0.320212 999 999 999 999 999 999 999 1.385007e-04 4.525630e-06
SDSS7473 999 0.216000 999 20.883821 999 -0.182874 0.280071 -0.098002 0.034075 999 999 53679.549961 0.247373 999 999 999 999 999 999 999 7.962584e-05 2.663448e-06
SDSS20040 999 0.285000 999 21.245815 999 0.704873 0.624827 -0.110414 0.043846 999 999 54410.788898 0.499345 999 999 999 999 999 999 999 5.708144e-05 2.406696e-06
05D2ab 999 0.323000 999 21.992595 999 -0.151194 0.084668 -0.038902 0.022267 999 999 53381.260662 0.102652 999 999 999 999 999 999 999 2.881280e-05 6.993579e-07
05D3mh 999 0.670000 999 24.059563 999 0.557772 0.471506 0.054706 0.054187 999 999 53558.051259 0.530554 999 999 999 999 999 999 999 4.275719e-06 1.487541e-07
sn2006mp 999 0.023016 999 15.972175 999 0.941026 0.149039 0.003407 0.027036 999 999 54054.328169 0.107349 999 999 999 999 999 999 999 7.292200e-03 1.941380e-04
SDSS16206 999 0.152000 999 20.401415 999 -2.564333 0.556041 -0.008658 0.032166 999 999 54056.991290 0.249065 999 999 999 999 999 999 999 1.240789e-04 4.055083e-06
SDSS18241 999 0.095000 999 19.174515 999 -1.123149 0.130201 -0.085470 0.025299 999 999 54372.950075 0.157304 999 999 999 999 999 999 999 3.844437e-04 1.183829e-05
SDSS18855 999 0.127830 999 19.698388 999 0.248046 0.143842 -0.027861 0.022489 999 999 54385.974690 0.208008 999 999 999 999 999 999 999 2.373944e-04 6.057973e-06
03D1au 999 0.504300 999 23.004995 999 1.274493 0.153579 -0.012602 0.034998 999 999 52909.746022 0.215419 999 999 999 999 999 999 999 1.131835e-05 3.013498e-07
sn2006ej 999 0.020267 999 15.723432 999 -0.968573 0.082404 -0.027906 0.028159 999 999 53975.362454 0.346037 999 999 999 999 999 999 999 9.182829e-03 2.767518e-04
04D1pg 999 0.515000 999 23.576308 999 0.984770 0.195716 0.104983 0.035347 999 999 53326.884778 0.243906 999 999 999 999 999 999 999 6.677163e-06 1.889923e-07
03D4dy 999 0.610000 999 23.244945 999 1.141310 0.182636 -0.097292 0.035786 999 999 52904.252695 0.257919 999 999 999 999 999 999 999 9.058517e-06 2.250072e-07
SDSS2422 999 0.265000 999 21.149355 999 0.990766 0.322377 -0.171032 0.040531 999 999 53639.591730 0.343766 999 999 999 999 999 999 999 6.235501e-05 2.325821e-06
SDSS16099 999 0.196950 999 20.702459 999 2.029756 0.374867 0.023362 0.027130 999 999 54054.438768 0.309653 999 999 999 999 999 999 999 9.407162e-05 2.852518e-06
