#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS15440 21.586693 0.11822 21.5878551972 0.0458396662582 4.17106425394e-05 1.78152337137e-06 -0.623734868792 0.491253697407 0.0657462729628 0.0425538771759 54030.9992183 0.416095989614 0.253
SDSS15443 20.192003 0.112167 20.1921934822 0.0279666226308 0.000151002277532 3.90752492561e-06 1.56053752052 0.18058525167 -0.0412824834581 0.0238880977173 54041.2886335 0.167601615747 0.18191
SDSS15453 20.54928 0.114314 20.5505049965 0.0356837541037 0.000108546351212 3.58767683559e-06 1.15003684474 0.253015761944 -0.0242653960639 0.0285938078165 54038.1805644 0.181712073248 0.175
SDSS15456 21.980928 0.12548 21.9831159293 0.0602935399119 2.9017668725e-05 1.61624467178e-06 -1.21277799958 0.75893725201 -0.0905511204473 0.0605485844965 54030.2981163 0.750982576981 0.3821
SDSS15461 20.359333 0.113319 20.3607246101 0.0323076025414 0.000129306683617 3.85231904863e-06 -0.162051291735 0.207846214241 -0.100205951678 0.0261044976593 54036.9842429 0.173308906938 0.18
SDSS15466 21.326555 0.120181 21.3283138641 0.0507677602778 5.30001693892e-05 2.50206516654e-06 -1.06196502929 0.391983037123 0.0279354058806 0.0466755884978 54036.6520059 0.353020020106 0.247
SDSS15467 20.592027 0.115699 20.5935130625 0.0395359962719 0.00010434996668 3.81283360746e-06 0.801260317537 0.26065162663 -0.0679447474604 0.0334595101411 54038.9021457 0.194596966103 0.21041
SDSS15504 21.852696 0.131353 21.8548459907 0.0733645184463 3.25209453951e-05 2.24176792823e-06 2.33717016846 0.726208513154 0.205582345805 0.0579090857465 54039.808975 0.570462101401 0.251
SDSS15508 19.607858 0.111798 19.608681896 0.0267357332299 0.00025847296341 6.38713473572e-06 0.882983390119 0.10432977749 -0.0592308107245 0.0222703168639 54041.5625991 0.0919543112323 0.135
SDSS15583 20.736464 0.113873 20.7370936684 0.0342144266592 9.13658214345e-05 2.90594036906e-06 -0.296321498662 0.205496313544 0.0253387966485 0.0301164714025 54041.0090039 0.189286692053 0.178
SDSS15584 21.439311 0.11753 21.4405603285 0.043536163632 4.78232756896e-05 1.92684543664e-06 0.314981030265 0.404868733319 -0.0449981947815 0.0441319703173 54038.1288684 0.391269456581 0.282
SDSS15648 21.032398 0.122163 21.0334746568 0.0559400536487 6.94437605223e-05 3.63313087762e-06 -1.453749895 0.357752744915 0.113585157471 0.0439230326747 54042.568941 0.290054376452 0.17502
SDSS15674 21.017687 0.117701 21.0193675615 0.0451909997557 7.0463913896e-05 2.95636203253e-06 -0.34360143539 0.301808320736 0.00422830770871 0.0371561465369 54040.2832336 0.233265294457 0.198
SDSS15704 22.059517 0.127982 22.0609447796 0.0656187677087 2.700290921e-05 1.63454075182e-06 -0.0485895998748 0.701920223948 -0.171359929089 0.0558762495896 54043.0027784 0.68590731571 0.365
SDSS15756 22.421908 0.135103 22.4241565009 0.0784055426979 1.93094682045e-05 1.40014714731e-06 -0.960604360313 0.712175541402 -0.250148711379 0.0605504416931 54035.7601352 0.821045562509 0.38
SDSS15776 21.846724 0.121555 21.848507589 0.0528866078794 3.28441645499e-05 1.60152885741e-06 -2.28176190612 0.56054280458 -0.146321447839 0.0497077238108 54033.8301888 0.490026951768 0.3176
