#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 SDSS21062 999 0.147000 999 20.355871 -0.002576 0.819601 0.373180 0.013291 0.031109 999 999 54425.646015 0.301718 999 999 999 999 999 999 999
 03D4di 999 0.899000 999 24.289862 -0.002352 1.450012 0.414429 -0.081813 0.063596 999 999 52901.056120 0.535786 999 999 999 999 999 999 999
 SDSS18697 999 0.107260 999 19.222404 -0.002433 0.749834 0.119928 -0.002731 0.021182 999 999 54384.430928 0.193322 999 999 999 999 999 999 999
 SDSS17186 999 0.079440 999 19.238688 -0.001912 0.643129 0.149435 0.111354 0.024648 999 999 54353.810703 0.186763 999 999 999 999 999 999 999
 SDSS5994 999 0.187000 999 20.477429 -0.002178 0.746771 0.264490 -0.061585 0.029498 999 999 53665.740039 0.267127 999 999 999 999 999 999 999
 05D1az 999 0.842000 999 24.223685 -0.001743 1.869050 0.370433 -0.012752 0.058667 999 999 53603.190061 0.395024 999 999 999 999 999 999 999
 SDSS19968 999 0.056030 999 18.010296 -0.002140 -1.888869 0.175886 -0.034879 0.023496 999 999 54412.677463 0.102829 999 999 999 999 999 999 999
 SDSS2330 999 0.213200 999 21.772481 -0.002525 -1.884592 0.548048 0.044886 0.056501 999 999 53635.472050 0.494676 999 999 999 999 999 999 999
 SDSS14024 999 0.146000 999 20.464093 -0.002313 -1.921739 0.196179 0.037676 0.032358 999 999 54011.162001 0.204992 999 999 999 999 999 999 999
 03D4cz 999 0.695000 999 24.023930 -0.002352 -1.761729 0.379622 -0.074035 0.084351 999 999 52894.647263 0.426218 999 999 999 999 999 999 999
 SDSS15461 999 0.180000 999 20.357175 -0.002486 -0.162114 0.209321 -0.100209 0.026657 999 999 54036.984179 0.173294 999 999 999 999 999 999 999
 04D3lu 999 0.822000 999 24.338256 0.000831 -0.570233 0.226811 -0.112701 0.057656 999 999 53169.138486 0.403971 999 999 999 999 999 999 999
 SDSS10805 999 0.045420 999 17.531287 -0.002681 -0.952749 0.402442 0.056675 0.024902 999 999 53698.687664 0.125514 999 999 999 999 999 999 999
 SDSS16093 999 0.336000 999 21.861890 -0.002667 1.029170 0.736503 -0.063642 0.056015 999 999 54045.023314 0.637451 999 999 999 999 999 999 999
 05D2ec 999 0.640000 999 23.675868 0.002505 -0.204144 0.228010 -0.105564 0.062415 999 999 53440.363515 0.456465 999 999 999 999 999 999 999
 SDSS13045 999 0.182000 999 20.672446 -0.002665 -0.132858 0.469431 0.052346 0.034233 999 999 53993.290755 1.066365 999 999 999 999 999 999 999
 SDSS2916 999 0.124200 999 19.968460 -0.002261 -0.872967 0.235928 0.056837 0.034889 999 999 53643.892667 0.164474 999 999 999 999 999 999 999
 SDSS13727 999 0.221000 999 20.854356 -0.002295 1.255508 0.342311 -0.040103 0.035190 999 999 54004.880099 0.326795 999 999 999 999 999 999 999
 04D3ny 999 0.810000 999 24.205634 0.000864 -0.060819 0.761565 -0.011413 0.075291 999 999 53194.175523 0.860207 999 999 999 999 999 999 999
 SDSS6933 999 0.213000 999 20.829519 -0.002454 0.075531 0.234811 -0.019535 0.032405 999 999 53679.849083 0.231592 999 999 999 999 999 999 999
 SDSS15704 999 0.365000 999 22.059378 -0.001639 -0.043513 0.737656 -0.171320 0.056321 999 999 54043.006307 0.691274 999 999 999 999 999 999 999
 SDSS7475 999 0.322000 999 21.537528 -0.002547 0.677169 0.593906 -0.169804 0.041014 999 999 53676.478069 0.547299 999 999 999 999 999 999 999
 04D2an 999 0.620000 999 23.580594 0.002510 -0.310735 0.609571 -0.044049 0.049362 999 999 53031.153242 0.686351 999 999 999 999 999 999 999
 04D4hf 999 0.936000 999 24.768452 -0.002357 0.838422 0.635542 0.035520 0.081547 999 999 53236.716784 1.430880 999 999 999 999 999 999 999
